,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,city_name
11875,31.0,5715.0,1154.0,2639.0,1079.0,4.1661,<1H OCEAN,364400.0,South Pasadena
8788,20.0,5776.0,956.0,2757.0,936.0,6.6447,<1H OCEAN,416800.0,Lomita
873,34.0,1453.0,588.0,1987.0,589.0,2.096,<1H OCEAN,187500.0,Silver Lake
1814,36.0,1526.0,256.0,696.0,263.0,3.5089,NEAR BAY,261900.0,El Cerrito
9374,45.0,3490.0,712.0,2337.0,781.0,3.4472,NEAR BAY,225400.0,San Francisco
2299,46.0,1528.0,391.0,933.0,366.0,2.1979,<1H OCEAN,125700.0,View Park-Windsor Hills
3109,6.0,6679.0,1164.0,3196.0,1157.0,5.4493,<1H OCEAN,242600.0,Moorpark
10618,40.0,855.0,208.0,745.0,222.0,3.0125,<1H OCEAN,224000.0,East San Gabriel
13361,29.0,1377.0,430.0,969.0,399.0,2.6573,<1H OCEAN,252800.0,Burbank
8167,18.0,6988.0,1635.0,2044.0,726.0,2.4308,INLAND,90600.0,Big Bear City
2616,32.0,1355.0,363.0,1427.0,384.0,1.3444,INLAND,45600.0,Farmersville
9143,11.0,1214.0,228.0,633.0,199.0,3.125,INLAND,148600.0,Twain Harte
8443,27.0,5580.0,2009.0,4165.0,1763.0,2.4375,NEAR BAY,189000.0,East Palo Alto
7986,45.0,2839.0,698.0,1768.0,653.0,3.1306,<1H OCEAN,214000.0,Glendale
12553,38.0,2965.0,665.0,2128.0,650.0,3.0241,<1H OCEAN,166300.0,Belvedere
4713,36.0,2572.0,421.0,1318.0,434.0,5.1836,<1H OCEAN,219700.0,Hawaiian Gardens
11029,10.0,2106.0,319.0,1002.0,332.0,8.735,<1H OCEAN,375300.0,Irvine
8610,10.0,489.0,82.0,183.0,74.0,6.2702,INLAND,345500.0,Anza
12005,20.0,2743.0,685.0,1798.0,613.0,3.6761,<1H OCEAN,170900.0,Simi Valley
4879,16.0,1743.0,333.0,652.0,322.0,2.8906,<1H OCEAN,158300.0,Lakeside
6391,36.0,3839.0,1004.0,4711.0,942.0,2.3859,INLAND,116200.0,Pomona
8206,36.0,815.0,126.0,353.0,122.0,6.3191,<1H OCEAN,258300.0,Santa Clara
3131,15.0,2422.0,774.0,2120.0,715.0,1.0617,NEAR OCEAN,92400.0,San Diego
9008,42.0,2106.0,533.0,1141.0,445.0,3.1129,<1H OCEAN,149300.0,Boyes Hot Springs
4404,45.0,1672.0,344.0,838.0,314.0,4.1419,NEAR OCEAN,291500.0,Daly City
148,17.0,3617.0,597.0,1176.0,571.0,5.133,<1H OCEAN,324000.0,Laguna Niguel
10513,28.0,5274.0,991.0,3727.0,961.0,3.57,NEAR OCEAN,109800.0,Lemon Grove
4052,38.0,1388.0,276.0,871.0,265.0,2.1667,NEAR BAY,193800.0,Brisbane
2114,23.0,5379.0,684.0,1826.0,555.0,7.0151,<1H OCEAN,350600.0,Huntington Beach
12349,19.0,1708.0,291.0,906.0,288.0,4.918,INLAND,130600.0,Lincoln Village
9710,30.0,4375.0,689.0,2038.0,709.0,5.1202,INLAND,133800.0,Lincoln Village
5263,24.0,4663.0,1213.0,1851.0,1116.0,1.4418,INLAND,103500.0,Yucaipa
2476,31.0,3089.0,585.0,1366.0,561.0,4.2885,INLAND,160300.0,West Sacramento
2410,38.0,2769.0,387.0,994.0,395.0,5.5902,NEAR OCEAN,417000.0,Belmont
8175,44.0,1097.0,239.0,609.0,215.0,2.0227,NEAR BAY,103100.0,San Leandro
11398,30.0,70.0,38.0,20.0,13.0,4.125,INLAND,112500.0,Lower Lake
11192,30.0,1677.0,372.0,1021.0,332.0,3.5859,<1H OCEAN,199700.0,East La Mirada
10561,5.0,3344.0,800.0,1341.0,670.0,3.6196,INLAND,152800.0,Parkway
14132,4.0,4308.0,1095.0,1923.0,932.0,3.9356,NEAR OCEAN,267000.0,La Jolla
5375,35.0,3941.0,645.0,1668.0,620.0,4.385,<1H OCEAN,317700.0,Cotati
12278,16.0,164.0,30.0,542.0,32.0,1.6563,NEAR OCEAN,42500.0,San Luis Obispo
10463,35.0,1898.0,481.0,1123.0,433.0,1.1419,INLAND,62900.0,Visalia
6167,15.0,2235.0,545.0,1376.0,516.0,1.9032,<1H OCEAN,100000.0,Ukiah
8187,13.0,7731.0,1360.0,2543.0,1249.0,4.6957,<1H OCEAN,259800.0,Kenwood
300,25.0,2392.0,474.0,1298.0,461.0,3.5076,NEAR OCEAN,73600.0,McKinleyville
6654,50.0,2195.0,336.0,878.0,309.0,6.884,<1H OCEAN,365600.0,North Glendale
7265,7.0,12480.0,1946.0,5102.0,1697.0,5.5102,<1H OCEAN,221000.0,San Diego Country Estates
11248,23.0,1712.0,403.0,1370.0,377.0,1.275,INLAND,60400.0,El Centro
13232,28.0,2309.0,300.0,931.0,302.0,6.7415,<1H OCEAN,348200.0,Northridge
2810,46.0,2639.0,448.0,938.0,424.0,5.0662,<1H OCEAN,331600.0,Buena Vista
10533,36.0,1581.0,288.0,832.0,291.0,3.4083,INLAND,71800.0,Florin
4356,32.0,3295.0,764.0,1344.0,600.0,3.6007,NEAR OCEAN,395500.0,Ventura
4828,18.0,2704.0,698.0,1611.0,597.0,2.0243,INLAND,82300.0,Victorville
5165,16.0,4702.0,806.0,2529.0,814.0,5.1299,<1H OCEAN,238900.0,Irvine
557,23.0,1722.0,316.0,865.0,309.0,4.6452,<1H OCEAN,273800.0,Fountain Valley
7239,15.0,1497.0,243.0,730.0,242.0,4.9688,INLAND,135600.0,Orangevale
4169,35.0,3585.0,671.0,1401.0,623.0,4.125,INLAND,330000.0,Sierra Madre
1584,46.0,2822.0,525.0,1434.0,520.0,3.8906,<1H OCEAN,238300.0,San Gabriel
5429,31.0,4353.0,1117.0,2338.0,1037.0,3.0727,INLAND,242600.0,Arcadia
3073,12.0,4485.0,805.0,2445.0,832.0,3.7611,INLAND,123100.0,Ceres
1810,44.0,1494.0,262.0,618.0,266.0,5.4035,<1H OCEAN,356300.0,Culver City
89,5.0,5819.0,1507.0,3237.0,1356.0,2.2339,INLAND,116600.0,Foothill Farms
8915,13.0,3432.0,516.0,1286.0,470.0,5.584,INLAND,186600.0,Cameron Park
10687,27.0,1774.0,444.0,1622.0,402.0,2.2031,<1H OCEAN,96900.0,Westmont
10926,32.0,2572.0,406.0,1128.0,395.0,5.0,NEAR BAY,287600.0,Fremont
14302,27.0,2178.0,629.0,2379.0,591.0,1.9766,INLAND,108000.0,Pomona
10577,34.0,609.0,149.0,407.0,145.0,4.5766,<1H OCEAN,185800.0,Glendale
3398,30.0,929.0,238.0,763.0,214.0,2.5227,<1H OCEAN,187500.0,Echo Park
8325,35.0,1582.0,391.0,1957.0,404.0,2.4537,<1H OCEAN,91500.0,West Rancho Dominguez
9491,32.0,2421.0,671.0,1491.0,587.0,3.5644,<1H OCEAN,242300.0,Gardena
11916,34.0,3573.0,662.0,1540.0,620.0,3.5323,INLAND,109800.0,Parkway
5532,27.0,1743.0,380.0,697.0,368.0,1.6678,INLAND,166100.0,Arden-Arcade
4336,16.0,5218.0,1187.0,2701.0,1125.0,3.929,<1H OCEAN,143100.0,Lake Forest
9172,26.0,2399.0,625.0,2654.0,535.0,2.2989,INLAND,60600.0,Indio
8327,33.0,1096.0,240.0,716.0,224.0,1.6944,NEAR OCEAN,111800.0,National City
4811,32.0,2296.0,560.0,1376.0,532.0,3.7303,<1H OCEAN,188500.0,Garden Grove
4312,43.0,3783.0,814.0,2139.0,789.0,4.0202,NEAR BAY,166300.0,San Leandro
12175,18.0,2250.0,484.0,1248.0,472.0,2.5893,NEAR OCEAN,99600.0,McKinleyville
777,32.0,2286.0,468.0,1741.0,467.0,3.0446,NEAR OCEAN,101900.0,National City
9673,24.0,5046.0,1001.0,2449.0,968.0,4.7118,<1H OCEAN,274600.0,Cambrian Park
9871,37.0,424.0,65.0,266.0,64.0,3.3472,NEAR OCEAN,293800.0,Las Lomas
10728,50.0,1729.0,355.0,617.0,337.0,3.6705,NEAR OCEAN,167000.0,San Diego
508,11.0,5665.0,1507.0,3422.0,1299.0,2.3343,INLAND,97800.0,Florin
3836,20.0,1391.0,393.0,856.0,360.0,3.184,<1H OCEAN,220000.0,Costa Mesa
3629,18.0,164.0,30.0,104.0,32.0,1.6607,INLAND,87500.0,Livingston
7781,21.0,1182.0,243.0,733.0,251.0,3.1442,NEAR OCEAN,131600.0,Lompoc
2298,42.0,2043.0,378.0,869.0,416.0,3.5,<1H OCEAN,181100.0,View Park-Windsor Hills
9611,42.0,3592.0,703.0,1625.0,665.0,3.2434,NEAR BAY,179900.0,San Lorenzo
9129,11.0,2895.0,524.0,1633.0,534.0,4.7283,<1H OCEAN,170200.0,Roseland
1649,50.0,2159.0,437.0,1111.0,417.0,3.5588,NEAR BAY,346400.0,San Francisco
7183,17.0,985.0,233.0,811.0,223.0,2.875,NEAR OCEAN,134500.0,Imperial Beach
5201,37.0,975.0,189.0,489.0,202.0,4.2434,<1H OCEAN,331000.0,"Westwood, Los Angeles"
8198,22.0,2259.0,634.0,1213.0,601.0,2.5,NEAR OCEAN,177800.0,San Diego
2122,5.0,9179.0,1361.0,4573.0,1294.0,5.253,INLAND,163300.0,Moreno Valley
2577,14.0,1088.0,209.0,601.0,193.0,3.8438,<1H OCEAN,243800.0,Valley Center
13123,33.0,4583.0,648.0,1760.0,638.0,6.3308,INLAND,230600.0,Redlands
6611,34.0,2770.0,544.0,1409.0,535.0,3.2338,INLAND,101800.0,Woodbridge
4384,19.0,3635.0,1078.0,3127.0,1098.0,1.324,NEAR OCEAN,122600.0,National City
13580,24.0,1629.0,313.0,641.0,274.0,2.2067,INLAND,69600.0,Greenville
1738,21.0,380.0,91.0,398.0,70.0,4.7222,<1H OCEAN,208300.0,Brea
727,31.0,3498.0,728.0,2098.0,697.0,3.9837,<1H OCEAN,246000.0,Artesia
6893,28.0,3688.0,633.0,1877.0,620.0,5.7251,<1H OCEAN,272600.0,Campbell
9582,20.0,200.0,25.0,83.0,31.0,6.5,NEAR BAY,340000.0,Fairview
3373,29.0,4039.0,680.0,1677.0,644.0,4.3897,NEAR OCEAN,257600.0,Oxnard
8859,42.0,1472.0,310.0,768.0,309.0,3.4643,NEAR BAY,160900.0,Ashland
7091,20.0,1511.0,328.0,791.0,320.0,2.0221,INLAND,70900.0,Quincy
5237,38.0,1340.0,298.0,766.0,241.0,3.2833,NEAR BAY,111700.0,San Pablo
7613,25.0,1526.0,388.0,1304.0,378.0,3.1892,<1H OCEAN,214700.0,Monterey Park
11347,16.0,4356.0,881.0,1629.0,818.0,2.2672,INLAND,91100.0,Morada
12964,46.0,1316.0,244.0,452.0,245.0,3.0938,INLAND,137800.0,Rosemont
7632,37.0,1340.0,322.0,621.0,314.0,3.5588,NEAR BAY,268800.0,San Rafael
6962,25.0,2224.0,580.0,985.0,516.0,3.1305,<1H OCEAN,268800.0,Costa Mesa
1376,35.0,1756.0,328.0,1026.0,332.0,3.6,<1H OCEAN,193500.0,Anaheim
4015,40.0,1134.0,252.0,675.0,249.0,1.3696,INLAND,65200.0,Arden-Arcade
4667,12.0,3744.0,699.0,1532.0,660.0,2.3079,INLAND,95300.0,Magalia
13282,23.0,4388.0,864.0,2526.0,846.0,4.5217,<1H OCEAN,219400.0,Villa Park
342,36.0,1407.0,385.0,1763.0,350.0,2.6364,<1H OCEAN,150000.0,Bell Gardens
2936,37.0,4368.0,779.0,2083.0,741.0,3.8667,NEAR BAY,127000.0,Crockett
10035,45.0,1982.0,376.0,1179.0,398.0,3.5463,NEAR BAY,130800.0,Rollingwood
13803,37.0,5257.0,1360.0,2128.0,1264.0,4.0,NEAR BAY,394300.0,Menlo Park
5126,36.0,1727.0,340.0,952.0,337.0,4.7917,NEAR OCEAN,316000.0,San Mateo
10063,29.0,1947.0,383.0,925.0,337.0,2.1658,INLAND,57600.0,Thermalito
1962,4.0,1793.0,390.0,897.0,386.0,4.2463,<1H OCEAN,182800.0,Trabuco Canyon
7990,25.0,434.0,74.0,199.0,75.0,5.9199,<1H OCEAN,420500.0,La Canada Flintridge
6587,32.0,1878.0,340.0,937.0,353.0,3.4408,<1H OCEAN,95200.0,Hydesville
4615,45.0,733.0,178.0,715.0,165.0,2.5962,<1H OCEAN,124100.0,Belvedere
9272,28.0,1457.0,397.0,672.0,342.0,1.9799,NEAR OCEAN,122700.0,San Diego
4428,18.0,3860.0,760.0,1643.0,664.0,2.0714,INLAND,92600.0,Visalia
7792,40.0,2878.0,592.0,1444.0,564.0,3.1439,<1H OCEAN,192300.0,Salinas
6402,48.0,1521.0,513.0,1772.0,458.0,2.2232,<1H OCEAN,162500.0,Los Angeles
4677,36.0,1389.0,225.0,623.0,223.0,6.6331,<1H OCEAN,283300.0,Buena Vista
7270,5.0,2949.0,671.0,1620.0,530.0,2.9479,INLAND,83300.0,Phelan
14032,5.0,1365.0,196.0,591.0,156.0,6.0389,INLAND,215100.0,Tracy
13638,8.0,569.0,97.0,312.0,96.0,4.3021,INLAND,94500.0,Twentynine Palms
1025,20.0,1608.0,274.0,862.0,248.0,4.875,INLAND,90800.0,Imperial
9764,16.0,2666.0,450.0,1203.0,429.0,4.1375,<1H OCEAN,222400.0,Atascadero
7433,33.0,952.0,172.0,369.0,159.0,3.2331,NEAR BAY,226700.0,Union City
6294,11.0,3136.0,620.0,2013.0,583.0,3.335,INLAND,69700.0,Tulare
10377,30.0,2265.0,512.0,1402.0,471.0,1.975,NEAR OCEAN,134000.0,Lompoc
6539,38.0,3229.0,636.0,1599.0,609.0,3.8646,<1H OCEAN,257100.0,Temple City
11553,34.0,4453.0,682.0,1805.0,672.0,5.6038,NEAR OCEAN,451300.0,Emerald Lake Hills
440,4.0,2271.0,578.0,926.0,391.0,3.6437,<1H OCEAN,210100.0,Escondido
888,34.0,2533.0,862.0,2011.0,778.0,2.1199,NEAR OCEAN,160400.0,San Diego
9818,23.0,3200.0,907.0,2029.0,866.0,3.5649,<1H OCEAN,450000.0,Sunnyvale
6534,43.0,906.0,240.0,458.0,205.0,1.8365,NEAR OCEAN,328600.0,La Jolla
2998,34.0,1040.0,276.0,1083.0,255.0,1.6467,<1H OCEAN,90900.0,Florence-Graham
6428,37.0,2926.0,874.0,1363.0,815.0,4.5987,NEAR BAY,356000.0,Palo Alto
12772,15.0,2873.0,903.0,1094.0,659.0,1.8015,INLAND,105100.0,Hemet
474,42.0,890.0,179.0,555.0,200.0,4.4821,<1H OCEAN,271900.0,La Crescenta-Montrose
2576,20.0,8052.0,1461.0,5094.0,1430.0,4.2241,NEAR OCEAN,139800.0,Bonita
3647,8.0,2325.0,598.0,1511.0,565.0,3.3629,<1H OCEAN,137500.0,Garden Grove
1803,4.0,5083.0,867.0,2541.0,856.0,4.2414,INLAND,121400.0,Oak Hills
3257,41.0,990.0,228.0,776.0,207.0,2.125,<1H OCEAN,120200.0,Compton
4140,27.0,3236.0,832.0,2230.0,798.0,3.5625,<1H OCEAN,208600.0,Santa Clara
10789,33.0,1589.0,307.0,853.0,272.0,4.2292,INLAND,64400.0,Boron
2721,26.0,1932.0,280.0,886.0,289.0,5.0855,<1H OCEAN,232200.0,Thousand Oaks
6097,7.0,3074.0,794.0,1816.0,654.0,2.7137,<1H OCEAN,196400.0,Simi Valley
8997,8.0,32.0,9.0,26.0,11.0,4.1944,<1H OCEAN,270800.0,San Joaquin Hills
1945,5.0,5492.0,1549.0,2997.0,1405.0,3.3205,<1H OCEAN,172100.0,Burbank
3478,27.0,1748.0,403.0,985.0,416.0,3.1133,INLAND,180600.0,Charter Oak
584,41.0,2591.0,682.0,2366.0,583.0,2.3071,<1H OCEAN,146400.0,South Pasadena
2428,40.0,1706.0,322.0,796.0,303.0,3.5583,NEAR OCEAN,154900.0,Chula Vista
8499,21.0,1091.0,208.0,660.0,188.0,2.2321,INLAND,34600.0,Alturas
8658,45.0,1471.0,255.0,670.0,250.0,4.5478,<1H OCEAN,188000.0,West Whittier-Los Nietos
6262,34.0,1722.0,406.0,926.0,371.0,4.1523,<1H OCEAN,252000.0,La Crescenta-Montrose
10162,19.0,2294.0,716.0,1686.0,680.0,3.0288,<1H OCEAN,258300.0,Glendale
11296,37.0,1157.0,332.0,983.0,306.0,2.0972,NEAR OCEAN,117000.0,National City
9417,35.0,897.0,156.0,479.0,161.0,5.152,<1H OCEAN,215600.0,Stanton
1531,16.0,1470.0,261.0,748.0,256.0,4.0433,INLAND,132200.0,Vacaville
11366,32.0,2293.0,466.0,1538.0,468.0,1.9342,INLAND,68600.0,Visalia
1552,5.0,10264.0,1821.0,5871.0,1790.0,4.2329,INLAND,145500.0,Palmdale
161,15.0,4974.0,764.0,2222.0,774.0,6.7606,NEAR OCEAN,364300.0,El Granada
2904,45.0,3924.0,834.0,1992.0,773.0,4.1146,NEAR BAY,177800.0,El Cerrito
3134,23.0,1858.0,551.0,1506.0,492.0,1.7446,NEAR OCEAN,85200.0,San Diego
12103,44.0,2262.0,647.0,3009.0,657.0,2.2663,NEAR OCEAN,123600.0,San Diego
1310,29.0,493.0,168.0,233.0,152.0,0.9637,NEAR BAY,160000.0,Hayward
4789,4.0,1646.0,321.0,859.0,300.0,5.5631,<1H OCEAN,227800.0,North Tustin
9379,35.0,1580.0,266.0,926.0,282.0,5.0653,<1H OCEAN,158000.0,West Athens
13549,35.0,3405.0,779.0,1953.0,671.0,2.7813,NEAR OCEAN,159200.0,Signal Hill
1173,16.0,3960.0,716.0,1776.0,724.0,3.9886,INLAND,137500.0,Modesto
7480,24.0,2328.0,335.0,969.0,354.0,7.7364,NEAR OCEAN,435800.0,Belmont
3066,25.0,3106.0,715.0,1262.0,665.0,1.9487,<1H OCEAN,233500.0,Boyes Hot Springs
2840,33.0,2040.0,576.0,2649.0,561.0,2.3375,<1H OCEAN,170600.0,Lennox
1486,11.0,852.0,215.0,806.0,202.0,1.3971,<1H OCEAN,134400.0,Belvedere
8611,25.0,2767.0,346.0,1148.0,372.0,6.394,<1H OCEAN,316700.0,Midway City
671,27.0,10839.0,1637.0,4406.0,1623.0,5.615,NEAR BAY,285600.0,Novato
4870,16.0,744.0,141.0,311.0,122.0,4.4231,INLAND,87500.0,Jamestown
12572,39.0,1631.0,322.0,1034.0,328.0,4.5382,<1H OCEAN,165700.0,Norwalk
6222,9.0,10484.0,1603.0,4005.0,1419.0,8.3931,<1H OCEAN,365300.0,Villa Park
5115,34.0,2863.0,451.0,1243.0,466.0,6.0723,<1H OCEAN,297200.0,Downey
11628,25.0,3794.0,989.0,2454.0,876.0,2.9982,<1H OCEAN,204200.0,North Hollywood
1550,17.0,5039.0,833.0,1678.0,710.0,6.2323,NEAR OCEAN,339100.0,Monterey
2786,20.0,4927.0,1042.0,4205.0,1009.0,1.7679,INLAND,79800.0,Merced
1333,27.0,1782.0,471.0,837.0,422.0,3.7727,<1H OCEAN,413000.0,Santa Monica
3144,45.0,1533.0,331.0,791.0,335.0,3.4605,<1H OCEAN,186600.0,Signal Hill
11020,30.0,806.0,189.0,326.0,146.0,2.8155,INLAND,101000.0,Foresthill
6063,18.0,1128.0,237.0,772.0,220.0,2.1771,INLAND,39200.0,Riverdale
1207,26.0,3032.0,605.0,1208.0,562.0,5.4683,<1H OCEAN,430900.0,Los Gatos
3780,16.0,1416.0,249.0,636.0,244.0,5.1741,<1H OCEAN,227700.0,Irvine
6501,17.0,3685.0,775.0,1714.0,734.0,2.2269,INLAND,128300.0,Placerville
5279,17.0,4109.0,884.0,2544.0,780.0,2.7757,INLAND,109800.0,Fontana
1940,35.0,3451.0,713.0,1550.0,653.0,2.9167,<1H OCEAN,161700.0,Paso Robles
2375,13.0,4543.0,881.0,2298.0,870.0,2.9386,NEAR OCEAN,143400.0,Camp Pendleton South
12979,5.0,2884.0,567.0,1396.0,465.0,3.7361,INLAND,119600.0,Phelan
1804,13.0,2455.0,661.0,1975.0,618.0,2.9559,<1H OCEAN,173600.0,Gardena
11254,20.0,3481.0,840.0,1694.0,587.0,1.4,INLAND,77700.0,Lucerne Valley
3661,37.0,1583.0,392.0,1776.0,377.0,2.7266,<1H OCEAN,140800.0,Boyle Heights
14082,39.0,1639.0,300.0,988.0,309.0,3.9612,<1H OCEAN,175800.0,West Whittier-Los Nietos
2513,17.0,1257.0,339.0,1093.0,384.0,1.8438,NEAR BAY,72500.0,San Francisco
4880,45.0,1519.0,263.0,681.0,267.0,4.6452,NEAR OCEAN,212500.0,Signal Hill
1438,31.0,2668.0,812.0,1398.0,721.0,1.125,INLAND,110400.0,Stockton
7186,39.0,2840.0,826.0,1911.0,688.0,1.9018,<1H OCEAN,137500.0,View Park-Windsor Hills
6019,41.0,1582.0,416.0,1422.0,370.0,1.0516,<1H OCEAN,108300.0,Westmont
6463,25.0,2475.0,476.0,910.0,387.0,3.3639,INLAND,168800.0,Rancho Mirage
6901,25.0,5187.0,934.0,2725.0,860.0,4.1865,INLAND,154300.0,Norco
98,26.0,4257.0,1031.0,1861.0,950.0,3.4047,NEAR OCEAN,294500.0,Mission Canyon
883,28.0,5109.0,1482.0,2313.0,1451.0,3.3266,<1H OCEAN,483300.0,Santa Monica
8922,2.0,6900.0,1238.0,1950.0,980.0,3.0417,INLAND,146300.0,Banning
4299,11.0,2630.0,327.0,1256.0,352.0,8.2953,<1H OCEAN,350500.0,Lake Forest
12081,24.0,4341.0,646.0,1929.0,703.0,5.4298,<1H OCEAN,279600.0,Camarillo
10921,43.0,1415.0,348.0,569.0,293.0,2.5156,NEAR BAY,190900.0,Cherryland
8468,37.0,1793.0,364.0,1534.0,346.0,3.6458,NEAR BAY,156600.0,Hayward
9212,39.0,2889.0,517.0,1351.0,489.0,4.3056,<1H OCEAN,251300.0,Petaluma
2940,46.0,2239.0,508.0,1390.0,569.0,2.7352,NEAR BAY,137300.0,Alameda
8365,16.0,7963.0,1881.0,3769.0,1804.0,2.9624,<1H OCEAN,144700.0,La Mesa
1212,2.0,6403.0,1116.0,3327.0,957.0,4.4871,INLAND,137900.0,Lincoln Village
8826,34.0,1058.0,230.0,1043.0,229.0,3.0536,<1H OCEAN,137500.0,South El Monte
9324,26.0,1471.0,348.0,1089.0,320.0,5.3057,<1H OCEAN,226400.0,Milpitas
8016,42.0,1705.0,418.0,905.0,393.0,1.6286,INLAND,54600.0,Oildale
7576,25.0,1701.0,427.0,1021.0,399.0,3.0404,NEAR BAY,142100.0,Napa
8723,7.0,2465.0,336.0,978.0,332.0,7.1381,INLAND,292200.0,Desert View Highlands
13921,43.0,1048.0,312.0,1320.0,294.0,1.0649,INLAND,137500.0,Sacramento
8920,18.0,1616.0,532.0,866.0,496.0,3.6435,<1H OCEAN,119100.0,Placentia
4136,17.0,1959.0,484.0,1763.0,453.0,2.1357,INLAND,53500.0,Arvin
7361,36.0,1595.0,383.0,1105.0,359.0,2.4286,<1H OCEAN,205600.0,Montebello
5881,42.0,1021.0,300.0,533.0,187.0,1.8036,NEAR OCEAN,175000.0,Long Beach
3852,12.0,5963.0,1372.0,3015.0,1124.0,2.7386,NEAR OCEAN,216100.0,Oceanside
5690,35.0,1255.0,252.0,685.0,279.0,4.2,<1H OCEAN,226900.0,Bellflower
7776,18.0,1525.0,485.0,1705.0,448.0,3.7198,<1H OCEAN,128600.0,Alum Rock
4749,30.0,540.0,136.0,122.0,63.0,1.3333,INLAND,42500.0,Twentynine Palms
12554,42.0,1555.0,337.0,1152.0,348.0,3.375,<1H OCEAN,169600.0,Belvedere
6830,15.0,3052.0,760.0,2097.0,728.0,3.3617,NEAR BAY,178100.0,Union City
9160,18.0,4900.0,814.0,2984.0,758.0,6.6176,<1H OCEAN,276200.0,Milpitas
8183,41.0,440.0,106.0,389.0,94.0,2.6818,INLAND,225000.0,Hollister
2405,14.0,3114.0,773.0,1592.0,776.0,3.3176,NEAR OCEAN,156100.0,La Jolla
3466,33.0,2143.0,488.0,1732.0,509.0,1.9362,INLAND,59000.0,Wasco
6546,16.0,5373.0,1079.0,1573.0,933.0,1.9912,<1H OCEAN,98600.0,Sun City
3676,17.0,4203.0,816.0,2900.0,827.0,4.1742,<1H OCEAN,159900.0,Boronda
413,37.0,2127.0,533.0,2021.0,480.0,2.9773,<1H OCEAN,164600.0,South Gate
13039,14.0,9483.0,1361.0,4108.0,1281.0,7.5,<1H OCEAN,344500.0,San Martin
9695,18.0,3585.0,1661.0,5229.0,1534.0,1.847,<1H OCEAN,250000.0,Echo Park
11574,25.0,1577.0,266.0,611.0,284.0,5.25,NEAR OCEAN,205100.0,San Diego
7693,43.0,2178.0,482.0,1545.0,471.0,2.5863,NEAR BAY,112200.0,San Pablo
12215,49.0,1977.0,393.0,741.0,339.0,3.1312,INLAND,247600.0,Saint Helena
