,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,city_name
2029,42.0,1639.0,367.0,929.0,366.0,1.7135,NEAR BAY,159800.0,Berkeley
4335,25.0,3926.0,1715.0,4865.0,1612.0,1.6112,<1H OCEAN,262500.0,Hollywood
3238,32.0,779.0,201.0,861.0,219.0,1.0625,<1H OCEAN,89800.0,Willowbrook
3920,33.0,1160.0,252.0,729.0,220.0,3.8259,NEAR BAY,146100.0,Hayward
596,31.0,2518.0,543.0,1107.0,508.0,4.7404,<1H OCEAN,295800.0,Lawndale
2082,15.0,1655.0,626.0,1549.0,582.0,1.9127,<1H OCEAN,175000.0,Placentia
6082,3.0,8240.0,1410.0,3318.0,1270.0,7.2074,<1H OCEAN,291300.0,North Tustin
1364,28.0,3337.0,855.0,1520.0,802.0,3.9063,NEAR BAY,225000.0,Piedmont
3457,16.0,4409.0,629.0,1875.0,609.0,5.543,<1H OCEAN,286400.0,Vista
5033,38.0,1141.0,333.0,1028.0,291.0,2.7333,<1H OCEAN,182500.0,San Jose
10945,27.0,3039.0,606.0,1421.0,564.0,5.5771,<1H OCEAN,345500.0,Hermosa Beach
12931,34.0,431.0,85.0,391.0,77.0,2.625,INLAND,225000.0,West Sacramento
2824,16.0,1608.0,296.0,792.0,286.0,3.1583,INLAND,239200.0,Rocklin
10788,47.0,1159.0,250.0,810.0,244.0,2.7787,INLAND,56000.0,Parkway
2181,45.0,1734.0,331.0,797.0,293.0,4.8917,<1H OCEAN,222800.0,Lakewood
7205,18.0,6955.0,1882.0,2803.0,1740.0,3.089,INLAND,141400.0,Arden-Arcade
2584,33.0,1595.0,292.0,991.0,300.0,4.6937,NEAR BAY,134100.0,Rollingwood
1344,35.0,2197.0,369.0,971.0,326.0,4.25,NEAR OCEAN,241700.0,Pacifica
14412,19.0,686.0,107.0,348.0,109.0,3.9306,INLAND,93800.0,Dixon
7029,24.0,7991.0,1286.0,4017.0,1213.0,5.4741,<1H OCEAN,238800.0,Seven Trees
7126,32.0,2696.0,640.0,2330.0,626.0,2.9479,<1H OCEAN,184600.0,Anaheim
172,39.0,1469.0,226.0,553.0,225.0,7.8496,<1H OCEAN,490800.0,Costa Mesa
6437,46.0,2553.0,558.0,1740.0,492.0,2.0278,<1H OCEAN,127500.0,Pasadena
8883,24.0,2343.0,834.0,3537.0,824.0,2.1094,<1H OCEAN,135200.0,El Monte
1622,48.0,1527.0,295.0,589.0,286.0,4.1667,<1H OCEAN,344800.0,Silver Lake
821,44.0,1399.0,386.0,1419.0,373.0,1.8224,<1H OCEAN,143800.0,Boyle Heights
7463,17.0,2073.0,313.0,573.0,221.0,8.2531,<1H OCEAN,419200.0,Valley Center
6461,24.0,1635.0,507.0,2480.0,481.0,2.4432,<1H OCEAN,187500.0,Bell Gardens
5617,15.0,1386.0,247.0,703.0,185.0,3.6415,INLAND,124200.0,Highgrove
11379,51.0,1076.0,206.0,495.0,201.0,2.9286,NEAR OCEAN,258300.0,Santa Cruz
49,10.0,1564.0,397.0,643.0,347.0,2.7031,INLAND,150000.0,Country Club
9010,46.0,1901.0,295.0,833.0,352.0,5.5196,NEAR BAY,210800.0,East Richmond Heights
13155,30.0,2704.0,426.0,1289.0,423.0,5.2815,<1H OCEAN,229500.0,Fountain Valley
9728,37.0,1962.0,367.0,1267.0,382.0,4.7344,NEAR OCEAN,271800.0,San Mateo
9455,36.0,1017.0,165.0,407.0,159.0,4.8,NEAR OCEAN,306800.0,San Bruno
8003,27.0,1035.0,229.0,782.0,222.0,4.2212,NEAR OCEAN,185400.0,Oxnard
7637,37.0,2246.0,481.0,995.0,459.0,4.2944,<1H OCEAN,354700.0,South Pasadena
6378,35.0,1867.0,343.0,1213.0,338.0,4.8214,NEAR BAY,186000.0,Newark
2332,49.0,1407.0,269.0,889.0,283.0,1.9779,<1H OCEAN,114200.0,View Park-Windsor Hills
769,40.0,1331.0,374.0,1276.0,389.0,2.7546,<1H OCEAN,172500.0,San Jose
1101,17.0,7214.0,1994.0,4100.0,1823.0,3.0943,<1H OCEAN,174500.0,Northridge
4641,29.0,2193.0,389.0,922.0,387.0,4.5476,NEAR OCEAN,309200.0,San Clemente
2487,37.0,3373.0,815.0,2909.0,705.0,2.8868,NEAR BAY,156600.0,East Palo Alto
6914,38.0,1270.0,556.0,1692.0,450.0,1.87,<1H OCEAN,170800.0,Echo Park
8700,28.0,3477.0,671.0,2990.0,648.0,4.4671,<1H OCEAN,172600.0,Alum Rock
11698,5.0,4028.0,896.0,2062.0,826.0,4.0579,INLAND,167100.0,Castaic
6004,21.0,2052.0,456.0,1173.0,432.0,3.7885,<1H OCEAN,204500.0,Cypress
5592,24.0,1880.0,642.0,2646.0,605.0,2.1836,<1H OCEAN,162000.0,Bell
3991,13.0,866.0,252.0,369.0,165.0,2.875,INLAND,70200.0,Midpines
2761,17.0,1564.0,345.0,517.0,222.0,2.1542,INLAND,83800.0,Willow Creek
4286,44.0,1481.0,329.0,999.0,315.0,1.5147,<1H OCEAN,94600.0,Florence-Graham
4600,5.0,3584.0,760.0,1097.0,470.0,3.1771,INLAND,167400.0,Bermuda Dunes
14374,26.0,1435.0,234.0,544.0,232.0,2.6705,INLAND,136700.0,Redding
11559,41.0,1213.0,301.0,801.0,300.0,3.1806,<1H OCEAN,204200.0,Glendale
8896,12.0,7626.0,1704.0,2823.0,1554.0,2.1722,INLAND,69400.0,Hemet
10719,17.0,1438.0,324.0,675.0,268.0,2.9444,INLAND,119300.0,Georgetown
2427,39.0,768.0,162.0,264.0,118.0,5.3245,INLAND,250000.0,San Miguel
10013,27.0,5805.0,1152.0,3106.0,1144.0,4.061,<1H OCEAN,222700.0,East La Mirada
165,35.0,1577.0,279.0,743.0,274.0,5.7654,<1H OCEAN,343000.0,Torrance
10202,17.0,7352.0,1699.0,3331.0,1634.0,2.7006,<1H OCEAN,166300.0,La Mesa
8108,34.0,1441.0,294.0,695.0,275.0,2.6875,INLAND,73700.0,Bakersfield
5409,34.0,2193.0,513.0,1299.0,497.0,3.6187,<1H OCEAN,211600.0,Northridge
5684,33.0,2291.0,439.0,1187.0,405.0,3.9539,<1H OCEAN,191100.0,Buena Park
11059,12.0,1198.0,174.0,443.0,170.0,6.0097,INLAND,187500.0,Roseville
6005,35.0,5113.0,959.0,3004.0,964.0,4.7625,NEAR OCEAN,281300.0,San Bruno
6945,15.0,2014.0,419.0,839.0,390.0,4.7446,<1H OCEAN,175400.0,La Habra
881,34.0,2243.0,444.0,973.0,413.0,4.9676,<1H OCEAN,414100.0,Culver City
3328,13.0,9947.0,1675.0,4071.0,1582.0,5.422,<1H OCEAN,316600.0,Costa Mesa
13481,7.0,27700.0,4179.0,15037.0,4072.0,6.6288,<1H OCEAN,339700.0,Walnut
2434,13.0,2295.0,374.0,1284.0,378.0,5.2551,INLAND,194300.0,Ontario
13629,36.0,878.0,167.0,499.0,179.0,4.1181,<1H OCEAN,190400.0,Canoga Park
9558,29.0,1563.0,293.0,883.0,288.0,2.8182,INLAND,90500.0,Firebaugh
11145,24.0,979.0,201.0,723.0,205.0,2.5926,INLAND,72300.0,Parkway
14148,51.0,1538.0,394.0,1173.0,388.0,2.3156,INLAND,109800.0,Pomona
9650,22.0,3369.0,771.0,2751.0,710.0,4.0474,<1H OCEAN,182100.0,Moorpark
10680,20.0,6331.0,1537.0,2957.0,1509.0,3.3892,<1H OCEAN,323100.0,Northridge
11021,39.0,1453.0,324.0,843.0,281.0,1.7692,INLAND,63900.0,Parkway
1122,29.0,1285.0,193.0,460.0,206.0,5.3243,INLAND,265700.0,La Riviera
7109,29.0,1271.0,272.0,1338.0,266.0,4.125,<1H OCEAN,150000.0,San Fernando
13781,33.0,1293.0,272.0,694.0,229.0,2.0221,INLAND,52200.0,Stratford
2508,27.0,2511.0,615.0,1427.0,576.0,3.1645,NEAR OCEAN,156000.0,Imperial Beach
8540,8.0,2112.0,360.0,782.0,344.0,3.7125,INLAND,175000.0,Lake Wildwood
10148,29.0,2927.0,634.0,1710.0,623.0,3.6219,INLAND,176600.0,Upland
8118,33.0,2716.0,660.0,1807.0,661.0,3.5473,<1H OCEAN,226300.0,West Carson
6986,48.0,3436.0,673.0,1540.0,648.0,4.275,INLAND,256800.0,Monrovia
4871,20.0,2129.0,526.0,1845.0,522.0,1.8973,INLAND,51600.0,Madera
12593,19.0,3558.0,588.0,1439.0,578.0,4.625,<1H OCEAN,211100.0,Poway
2012,17.0,1962.0,291.0,825.0,267.0,4.8958,INLAND,187100.0,Brentwood
13556,20.0,892.0,129.0,331.0,135.0,7.1837,INLAND,176300.0,Greenacres
10554,36.0,1252.0,209.0,558.0,214.0,3.9722,<1H OCEAN,235600.0,Rossmoor
8208,2.0,12837.0,1842.0,4636.0,1453.0,5.1512,INLAND,187800.0,Woodcrest
5177,17.0,4477.0,610.0,1798.0,612.0,8.1093,<1H OCEAN,410400.0,San Joaquin Hills
3080,41.0,1229.0,302.0,994.0,270.0,1.4891,INLAND,67300.0,San Bernardino
9759,14.0,7208.0,1012.0,3097.0,1014.0,6.617,NEAR OCEAN,285200.0,Encinitas
7123,21.0,3005.0,574.0,385.0,150.0,3.1193,INLAND,153300.0,Dollar Point
11506,38.0,1261.0,177.0,472.0,183.0,6.917,NEAR BAY,438000.0,Orinda
3549,46.0,2577.0,703.0,2446.0,687.0,1.275,<1H OCEAN,98300.0,Florence-Graham
11587,30.0,516.0,90.0,288.0,95.0,3.6333,INLAND,202500.0,Ridgemark
12700,47.0,2090.0,387.0,1053.0,377.0,3.5673,<1H OCEAN,310300.0,Petaluma
6247,36.0,1146.0,259.0,1173.0,272.0,3.6016,<1H OCEAN,153800.0,San Fernando
10154,35.0,2355.0,365.0,993.0,354.0,5.0492,INLAND,144100.0,Arden-Arcade
953,29.0,3377.0,853.0,1674.0,792.0,3.4233,<1H OCEAN,229300.0,Burbank
1645,49.0,1969.0,377.0,977.0,367.0,3.8462,<1H OCEAN,231300.0,Burbank
14441,18.0,2158.0,413.0,1461.0,395.0,2.0216,INLAND,58000.0,Ivanhoe
1951,45.0,2174.0,627.0,1992.0,557.0,2.5428,<1H OCEAN,167800.0,Echo Park
9181,14.0,4177.0,914.0,2300.0,867.0,2.9565,INLAND,73000.0,West Park
3079,38.0,1462.0,337.0,1208.0,324.0,2.2604,INLAND,68100.0,San Bernardino
7878,18.0,2705.0,713.0,2726.0,674.0,2.7759,<1H OCEAN,200000.0,Placentia
3156,45.0,782.0,270.0,1030.0,235.0,1.0898,<1H OCEAN,93400.0,Huntington Park
9045,31.0,2057.0,601.0,2397.0,579.0,2.871,<1H OCEAN,184400.0,Van Nuys
7580,18.0,11544.0,1979.0,6296.0,1923.0,4.4904,<1H OCEAN,150400.0,Santee
4984,21.0,1718.0,308.0,1194.0,312.0,3.4359,<1H OCEAN,150900.0,Vista
4750,16.0,30.0,3.0,49.0,8.0,4.625,INLAND,250000.0,San Bernardino
12582,27.0,1407.0,362.0,1684.0,350.0,2.1944,INLAND,95700.0,Ontario
7688,47.0,767.0,195.0,569.0,195.0,2.9514,NEAR OCEAN,185200.0,Long Beach
8005,39.0,2099.0,397.0,1500.0,380.0,4.8304,<1H OCEAN,493200.0,Pasadena
8487,25.0,4625.0,1307.0,1739.0,1191.0,3.3989,<1H OCEAN,485000.0,West Hollywood
5896,31.0,1516.0,400.0,1820.0,398.0,2.1641,<1H OCEAN,122900.0,Cudahy
8464,39.0,1565.0,364.0,1389.0,360.0,2.7443,<1H OCEAN,113900.0,Compton
4961,27.0,991.0,194.0,543.0,155.0,4.7188,NEAR OCEAN,350000.0,Bonny Doon
5264,17.0,2285.0,554.0,1412.0,541.0,1.8152,INLAND,94300.0,Redlands
3738,12.0,7095.0,1260.0,1179.0,570.0,4.9444,INLAND,285000.0,Thousand Palms
114,3.0,7105.0,1459.0,3068.0,1241.0,6.1395,<1H OCEAN,358000.0,Irvine
12095,42.0,1967.0,378.0,1459.0,348.0,3.0375,INLAND,118100.0,Pomona
8397,32.0,1702.0,348.0,1016.0,350.0,2.5,INLAND,73600.0,Goshen
6015,43.0,2241.0,446.0,932.0,395.0,2.9038,NEAR OCEAN,82000.0,Cutten
4475,35.0,2949.0,794.0,2106.0,746.0,2.9228,<1H OCEAN,177300.0,North Hollywood
5366,5.0,11976.0,2495.0,4327.0,2009.0,4.8488,<1H OCEAN,194400.0,Aliso Viejo
5454,38.0,2675.0,541.0,1378.0,480.0,3.8897,NEAR BAY,139900.0,Concord
12736,34.0,1654.0,285.0,905.0,292.0,4.6389,<1H OCEAN,214600.0,Garden Grove
11388,36.0,1497.0,264.0,894.0,275.0,3.3066,INLAND,96300.0,Rialto
2342,16.0,1049.0,154.0,467.0,160.0,6.2047,<1H OCEAN,248100.0,La Mesa
1148,31.0,4077.0,777.0,2544.0,738.0,4.5337,NEAR OCEAN,306700.0,Colma
10672,44.0,3514.0,714.0,1509.0,656.0,2.7333,INLAND,100100.0,Florin
10550,13.0,3243.0,488.0,1585.0,480.0,5.7133,INLAND,166800.0,Orangevale
4532,41.0,3495.0,787.0,1849.0,750.0,2.679,NEAR BAY,144900.0,Ashland
3390,47.0,1800.0,546.0,921.0,478.0,2.8021,<1H OCEAN,280600.0,West Hollywood
2197,2.0,12360.0,1747.0,4438.0,1470.0,6.2503,INLAND,222500.0,Folsom
1318,28.0,2948.0,566.0,1445.0,524.0,5.3743,<1H OCEAN,286500.0,Lawndale
8395,45.0,629.0,143.0,568.0,139.0,1.7321,INLAND,84400.0,Bakersfield
3155,43.0,1429.0,386.0,1412.0,354.0,1.3287,<1H OCEAN,107200.0,Huntington Park
8020,5.0,187.0,49.0,207.0,51.0,1.8,<1H OCEAN,154200.0,Santa Ana
9781,11.0,1996.0,382.0,1023.0,358.0,3.5714,INLAND,243000.0,Ridgemark
4660,25.0,3421.0,803.0,1681.0,742.0,3.369,<1H OCEAN,134400.0,El Cajon
14246,40.0,1266.0,257.0,547.0,247.0,3.0288,INLAND,164400.0,Rio Vista
6636,18.0,2516.0,485.0,1128.0,433.0,5.0114,<1H OCEAN,338600.0,Lawndale
11873,38.0,1250.0,236.0,631.0,279.0,3.724,NEAR BAY,220100.0,El Cerrito
8876,27.0,3019.0,501.0,1580.0,523.0,3.7804,INLAND,113500.0,Lancaster
11422,29.0,2911.0,445.0,1170.0,460.0,4.9904,INLAND,158100.0,Modesto
11836,36.0,1119.0,144.0,414.0,150.0,5.8336,INLAND,283300.0,Arden-Arcade
3937,27.0,336.0,60.0,195.0,68.0,5.3946,INLAND,71800.0,Yuba City
10146,31.0,3395.0,742.0,1886.0,737.0,4.4118,<1H OCEAN,174400.0,La Mirada
9827,32.0,1792.0,411.0,1131.0,381.0,2.4942,<1H OCEAN,186300.0,Anaheim
9293,30.0,504.0,140.0,529.0,123.0,1.9531,<1H OCEAN,100000.0,Florence-Graham
5632,28.0,4071.0,713.0,2033.0,647.0,4.5833,INLAND,190700.0,Concord
12661,20.0,1054.0,269.0,1219.0,273.0,3.0437,<1H OCEAN,76600.0,Soledad
13092,27.0,2326.0,533.0,1697.0,546.0,3.8633,<1H OCEAN,187900.0,Carson
10386,14.0,3676.0,720.0,1176.0,614.0,3.9464,NEAR OCEAN,171900.0,Lake San Marcos
5533,43.0,1077.0,199.0,447.0,182.0,3.0139,INLAND,115600.0,Arden-Arcade
4491,19.0,9902.0,2814.0,7307.0,2660.0,2.585,<1H OCEAN,145400.0,Van Nuys
3790,34.0,1229.0,215.0,1035.0,218.0,3.5455,<1H OCEAN,180000.0,Anaheim
2672,33.0,1115.0,316.0,583.0,269.0,2.5882,NEAR OCEAN,258300.0,San Diego
5833,17.0,2863.0,665.0,715.0,467.0,2.6048,<1H OCEAN,148200.0,Poway
473,35.0,1666.0,280.0,788.0,273.0,6.6277,<1H OCEAN,344400.0,La Crescenta-Montrose
2875,37.0,903.0,158.0,444.0,158.0,3.75,<1H OCEAN,174400.0,East La Mirada
2900,31.0,3190.0,489.0,1362.0,480.0,6.981,<1H OCEAN,402900.0,Burbank
10390,34.0,1288.0,344.0,846.0,293.0,1.7895,INLAND,63100.0,August
8022,31.0,1761.0,515.0,1810.0,468.0,1.9309,<1H OCEAN,173400.0,Santa Ana
14414,23.0,2592.0,414.0,1401.0,431.0,5.4903,<1H OCEAN,151400.0,Santee
818,44.0,1582.0,544.0,1998.0,515.0,1.6888,<1H OCEAN,125000.0,Boyle Heights
11198,37.0,1383.0,470.0,1185.0,451.0,2.5,<1H OCEAN,207100.0,Glendale
4997,27.0,3861.0,718.0,2085.0,707.0,3.3558,INLAND,129700.0,Oakley
3856,37.0,2330.0,495.0,1505.0,470.0,2.0474,INLAND,56000.0,Gridley
269,48.0,1751.0,390.0,935.0,349.0,1.4375,NEAR BAY,90000.0,San Leandro
10991,19.0,2969.0,605.0,1326.0,573.0,4.3438,INLAND,155700.0,Upland
7988,12.0,4476.0,761.0,2255.0,735.0,3.925,INLAND,118500.0,Apple Valley
12159,18.0,3612.0,737.0,1864.0,713.0,2.7069,<1H OCEAN,153800.0,Lakeside
5687,19.0,1629.0,386.0,551.0,214.0,1.7463,INLAND,68800.0,Clearlake Oaks
13747,41.0,2666.0,751.0,940.0,507.0,1.9653,<1H OCEAN,236100.0,Pismo Beach
1464,44.0,1242.0,270.0,811.0,274.0,2.9375,<1H OCEAN,95200.0,Westmont
7557,12.0,1733.0,421.0,1861.0,415.0,1.5771,INLAND,65200.0,Oroville
1771,15.0,1070.0,256.0,1070.0,243.0,1.5642,INLAND,51500.0,Orange Cove
3416,26.0,2988.0,397.0,1371.0,415.0,6.6988,<1H OCEAN,382500.0,Hacienda Heights
202,42.0,907.0,378.0,822.0,288.0,1.2875,<1H OCEAN,179200.0,Los Angeles
8676,37.0,1995.0,448.0,1559.0,443.0,2.1833,INLAND,92700.0,Patterson
2384,43.0,1423.0,467.0,1013.0,428.0,1.6708,<1H OCEAN,204200.0,San Jose
9120,25.0,1101.0,285.0,543.0,294.0,2.3571,<1H OCEAN,340600.0,Culver City
4494,25.0,4927.0,1005.0,2756.0,998.0,2.7325,NEAR BAY,162900.0,Napa
8292,36.0,1477.0,305.0,788.0,291.0,3.625,<1H OCEAN,195800.0,Bellflower
14314,29.0,2337.0,391.0,1054.0,352.0,4.2206,INLAND,157700.0,Rosemont
12434,26.0,1589.0,223.0,542.0,211.0,8.401,NEAR BAY,351200.0,Piedmont
12991,19.0,3785.0,611.0,2198.0,610.0,5.1514,<1H OCEAN,436700.0,Morgan Hill
7028,10.0,6305.0,1150.0,2597.0,921.0,4.0197,INLAND,132200.0,Pollock Pines
11767,19.0,5130.0,741.0,1887.0,712.0,7.203,NEAR BAY,369900.0,Moraga
840,30.0,1596.0,307.0,845.0,309.0,4.5096,<1H OCEAN,241100.0,La Habra
1119,35.0,1493.0,267.0,811.0,272.0,5.244,<1H OCEAN,218000.0,Garden Grove
13381,20.0,4582.0,1124.0,2325.0,1040.0,4.0556,NEAR OCEAN,275000.0,Pacifica
12841,27.0,1004.0,192.0,470.0,192.0,2.8942,INLAND,116700.0,Woodbridge
5477,16.0,975.0,219.0,337.0,155.0,1.6607,INLAND,77800.0,Clearlake
2438,4.0,4289.0,682.0,1981.0,705.0,5.3366,INLAND,165100.0,Loma Linda
6622,40.0,1833.0,308.0,751.0,306.0,6.0,NEAR OCEAN,384200.0,Belmont
7952,38.0,2197.0,357.0,1228.0,373.0,5.4719,NEAR OCEAN,397900.0,Belmont
10406,33.0,4168.0,1112.0,1785.0,984.0,2.7515,NEAR OCEAN,247700.0,La Jolla
12362,35.0,1877.0,328.0,1155.0,353.0,3.069,INLAND,69600.0,Fresno
11175,16.0,3784.0,577.0,1615.0,525.0,4.2333,INLAND,220300.0,Yucaipa
12105,17.0,1960.0,389.0,1691.0,356.0,1.899,INLAND,64000.0,Calexico
7841,5.0,14944.0,2490.0,6600.0,2407.0,6.0857,<1H OCEAN,308300.0,Poway
4337,13.0,5830.0,921.0,2897.0,891.0,6.2403,<1H OCEAN,257400.0,Lake Forest
6258,47.0,932.0,295.0,1226.0,264.0,1.6065,<1H OCEAN,111400.0,Walnut Park
12445,38.0,125.0,42.0,63.0,29.0,1.3594,<1H OCEAN,158300.0,North Hollywood
8179,7.0,9374.0,1847.0,4827.0,1722.0,3.462,INLAND,151900.0,Salida
1827,51.0,936.0,311.0,517.0,249.0,1.2852,NEAR BAY,150000.0,Emeryville
8460,44.0,2032.0,308.0,791.0,336.0,4.0298,INLAND,109000.0,Visalia
8587,10.0,2271.0,398.0,986.0,358.0,4.0703,INLAND,147100.0,Three Rivers
9666,14.0,2307.0,650.0,5723.0,615.0,2.1652,NEAR OCEAN,37500.0,Isla Vista
14344,24.0,796.0,243.0,227.0,139.0,0.8964,INLAND,59200.0,Mesa Verde
7754,38.0,2009.0,524.0,1449.0,451.0,2.7045,<1H OCEAN,155400.0,East Rancho Dominguez
12875,19.0,4572.0,712.0,2346.0,709.0,6.0667,NEAR BAY,245700.0,Fremont
9729,4.0,4323.0,775.0,1479.0,663.0,6.0758,INLAND,226800.0,Upland
9026,35.0,1734.0,363.0,1527.0,344.0,3.0,<1H OCEAN,160600.0,South El Monte
9591,34.0,2921.0,641.0,1541.0,562.0,3.6827,<1H OCEAN,264100.0,Temple City
1744,28.0,1607.0,421.0,926.0,385.0,2.425,NEAR OCEAN,216100.0,Santa Cruz
7237,22.0,3564.0,730.0,1539.0,699.0,3.675,INLAND,152400.0,Lincoln Village
564,15.0,2155.0,394.0,857.0,356.0,4.03,INLAND,141200.0,Pollock Pines
10885,26.0,3606.0,792.0,1683.0,608.0,2.6587,INLAND,57400.0,Barstow
13256,18.0,3000.0,419.0,1155.0,415.0,6.8233,NEAR BAY,332600.0,Fairview
6869,44.0,1681.0,407.0,1105.0,387.0,3.2222,<1H OCEAN,186500.0,Glendale
4421,42.0,1003.0,236.0,769.0,231.0,3.1607,<1H OCEAN,218300.0,East San Gabriel
10586,24.0,1629.0,587.0,1012.0,488.0,1.7452,NEAR OCEAN,156800.0,Lemon Grove
2290,21.0,5195.0,1020.0,2539.0,988.0,4.5033,<1H OCEAN,160500.0,Buena Park
12853,44.0,1167.0,201.0,452.0,209.0,3.7344,INLAND,179800.0,Sacramento
9982,43.0,2343.0,803.0,2468.0,707.0,1.5163,<1H OCEAN,115000.0,Boyle Heights
10675,18.0,742.0,142.0,343.0,119.0,3.1563,INLAND,98400.0,Angwin
441,7.0,938.0,297.0,1187.0,282.0,1.2667,NEAR OCEAN,67500.0,Tijuana
2093,35.0,2712.0,428.0,1084.0,425.0,7.1382,NEAR BAY,443800.0,Los Altos
2494,37.0,4916.0,1134.0,3533.0,1035.0,3.2862,<1H OCEAN,152300.0,Lennox
8892,28.0,833.0,230.0,349.0,210.0,3.067,<1H OCEAN,375000.0,Beverly Hills
708,25.0,2213.0,360.0,1066.0,390.0,7.2165,<1H OCEAN,360900.0,Sunnyvale
11416,20.0,3847.0,727.0,1725.0,737.0,3.3447,NEAR OCEAN,305200.0,Soquel
12826,11.0,4236.0,879.0,2410.0,850.0,2.3849,INLAND,122000.0,Ceres
5435,23.0,506.0,96.0,264.0,89.0,7.1366,NEAR OCEAN,273900.0,Boulder Creek
6582,40.0,1251.0,336.0,729.0,343.0,2.4688,<1H OCEAN,236400.0,Orange
12606,28.0,977.0,162.0,537.0,159.0,4.2404,NEAR OCEAN,274300.0,Goleta
12668,18.0,1859.0,375.0,913.0,372.0,4.3456,INLAND,148900.0,Green Valley
8334,14.0,5094.0,729.0,1974.0,705.0,5.5205,INLAND,188700.0,Rocklin
6198,8.0,3567.0,543.0,1133.0,419.0,5.3733,INLAND,302600.0,Victorville
7906,13.0,4563.0,1187.0,2475.0,1019.0,2.1189,INLAND,121700.0,Fontana
7192,14.0,2647.0,515.0,1487.0,488.0,4.4519,NEAR OCEAN,227900.0,Buellton
14163,5.0,4810.0,909.0,2242.0,900.0,3.2964,INLAND,176900.0,Cameron Park
1073,19.0,2497.0,494.0,748.0,442.0,2.925,INLAND,142400.0,Rosemont
8510,12.0,2290.0,319.0,728.0,228.0,6.1561,INLAND,233500.0,Norco
4247,37.0,2586.0,765.0,1801.0,737.0,2.6042,<1H OCEAN,305800.0,Marina del Rey
11839,33.0,1587.0,374.0,1159.0,331.0,2.8021,<1H OCEAN,195100.0,Anaheim
839,25.0,3250.0,546.0,1452.0,501.0,5.1084,<1H OCEAN,303800.0,La Habra
6526,50.0,1187.0,261.0,907.0,246.0,1.9479,NEAR BAY,89500.0,San Leandro
11330,35.0,2707.0,481.0,1595.0,479.0,3.9018,INLAND,91500.0,Highland
7224,16.0,2426.0,426.0,1319.0,446.0,4.8125,INLAND,224500.0,San Dimas
1298,37.0,1394.0,313.0,1111.0,327.0,3.6023,<1H OCEAN,161800.0,San Fernando
1062,17.0,2795.0,482.0,1904.0,506.0,5.0186,<1H OCEAN,250800.0,Seven Trees
14358,24.0,1378.0,272.0,532.0,188.0,1.5909,INLAND,221900.0,Julian
7664,18.0,2278.0,523.0,1185.0,475.0,1.3611,INLAND,60600.0,Palermo
2522,26.0,2379.0,336.0,988.0,346.0,5.3674,<1H OCEAN,339300.0,Huntington Beach
7481,35.0,1817.0,262.0,659.0,262.0,6.8336,NEAR OCEAN,457200.0,Belmont
6102,34.0,2185.0,469.0,1910.0,455.0,2.1136,INLAND,57300.0,Arvin
12956,8.0,1031.0,201.0,606.0,179.0,2.8194,INLAND,136300.0,March Air Force Base
