,latitude,longitude,city_name
119,34.26,-117.28,Crestline
120,39.22,-120.99,Nevada City
121,33.61,-117.89,Newport Beach
122,34.07,-118.21,Boyle Heights
123,34.23,-118.39,North Hollywood
124,37.23,-121.89,Cambrian Park
125,32.81,-117.15,San Diego
126,33.86,-118.18,Paramount
127,35.13,-119.46,South Taft
128,37.33,-121.84,Alum Rock
129,36.81,-119.82,Fresno
130,40.17,-122.24,Red Bluff
131,37.98,-121.31,Stockton
132,34.12,-117.3,San Bernardino
133,37.8,-122.44,San Francisco
134,34.18,-118.42,Van Nuys
135,37.87,-122.53,Tamalpais-Homestead Valley
136,33.77,-116.99,Hemet
137,38.56,-121.46,Sacramento
138,36.99,-120.64,Dos Palos
139,38.25,-122.24,Napa
140,33.79,-117.23,Perris
141,33.88,-117.53,Home Gardens
142,34.11,-117.69,Montclair
143,37.61,-121.62,Livermore
144,34.12,-118.21,Glendale
145,34.33,-118.89,Moorpark
146,34.26,-118.77,Simi Valley
147,39.11,-121.22,Penn Valley
148,35.21,-117.79,North Edwards
149,34.06,-118.27,Echo Park
150,32.84,-116.94,Winter Gardens
151,36.96,-120.04,Madera
152,33.75,-118.09,Seal Beach
153,33.9,-118.17,Paramount
154,33.62,-114.62,Blythe
155,39.72,-121.84,Chico
156,37.75,-122.17,San Leandro
157,34.16,-118.37,North Hollywood
158,34.14,-118.38,Universal City
159,37.51,-120.83,Turlock
160,38.5,-121.5,Parkway
161,34.1,-117.31,San Bernardino
162,37.2,-121.83,Seven Trees
163,37.25,-121.89,Cambrian Park
164,34.02,-118.2,Boyle Heights
165,34.17,-117.13,Running Springs
166,36.75,-119.76,Fresno
167,34.26,-118.9,Moorpark
168,39.35,-120.19,Truckee
169,40.93,-124.11,McKinleyville
170,35.36,-119.05,Bakersfield
171,37.72,-122.44,Daly City
172,34.03,-118.48,Santa Monica
173,33.83,-117.96,Stanton
174,34.19,-118.4,North Hollywood
175,38.41,-121.38,Elk Grove
176,34.0,-118.44,Marina del Rey
177,33.99,-118.3,Westmont
178,34.96,-120.44,Santa Maria
179,37.25,-121.9,Cambrian Park
180,34.07,-118.35,West Hollywood
181,33.82,-118.11,Hawaiian Gardens
182,36.97,-122.03,Santa Cruz
183,34.11,-117.64,Upland
184,33.97,-118.14,Bell Gardens
185,36.57,-121.42,Gonzales
186,40.78,-124.15,Cutten
187,37.25,-121.81,Seven Trees
188,33.79,-118.13,Signal Hill
189,33.94,-118.2,Lynwood
190,33.91,-118.14,Paramount
191,35.29,-120.66,San Luis Obispo
192,39.15,-123.21,Ukiah
193,36.42,-121.91,Carmel-by-the-Sea
194,37.57,-122.31,San Mateo
195,34.06,-118.14,Monterey Park
196,33.8,-116.45,Cathedral City
197,37.67,-121.76,Livermore
198,37.68,-122.49,Broadmoor
199,35.17,-119.48,Ford City
200,34.11,-118.27,Silver Lake
201,37.8,-122.42,San Francisco
202,34.1,-118.23,Echo Park
203,37.6,-122.39,Millbrae
204,37.96,-121.23,Garden Acres
205,37.99,-121.26,August
206,38.56,-121.49,Sacramento
207,37.38,-122.09,Mountain View
208,34.16,-119.18,Port Hueneme
209,38.34,-121.92,Vacaville
210,34.38,-119.06,Santa Paula
211,33.69,-116.39,Palm Desert
212,33.81,-118.21,Signal Hill
213,38.65,-120.76,Diamond Springs
214,34.06,-117.96,West Puente Valley
215,38.92,-121.14,Newcastle
216,33.96,-118.2,South Gate
217,37.01,-121.58,Gilroy
218,38.01,-122.13,Martinez
219,33.76,-118.23,Long Beach
220,34.14,-118.26,Glendale
221,40.55,-122.36,Redding
222,36.75,-121.76,Castroville
223,32.83,-115.57,Imperial
224,38.41,-121.94,Hartley
225,33.93,-118.25,Willowbrook
226,33.07,-117.07,Escondido
227,34.06,-118.1,South San Gabriel
228,34.04,-117.2,Redlands
229,37.79,-122.2,Piedmont
230,33.04,-117.07,Escondido
231,32.54,-117.04,Tijuana
232,32.8,-116.92,Granite Hills
233,39.79,-122.25,Orland
234,34.28,-118.39,San Fernando
235,41.86,-122.33,Montague
236,37.46,-121.89,Milpitas
237,33.89,-118.2,East Rancho Dominguez
238,37.9,-122.18,Orinda
239,33.82,-117.96,Stanton
240,33.92,-118.07,Norwalk
241,37.79,-122.44,San Francisco
242,37.94,-122.08,Pleasant Hill
243,39.02,-121.08,Lake of the Pines
244,38.54,-121.67,Davis
245,34.33,-119.11,Santa Paula
246,39.31,-121.13,Lake Wildwood
247,33.77,-117.8,North Tustin
248,38.62,-121.43,Arden-Arcade
249,37.95,-122.01,Concord
250,34.05,-118.46,"Westwood, Los Angeles"
251,34.08,-117.61,Rancho Cucamonga
252,34.24,-118.26,La Crescenta-Montrose
253,33.81,-118.04,Cypress
254,32.79,-114.65,Yuma
255,38.54,-121.43,Florin
256,33.93,-118.14,Downey
257,33.91,-118.31,West Athens
258,36.94,-121.02,Los Banos
259,37.32,-120.48,Merced
260,34.26,-118.78,Simi Valley
261,33.81,-118.13,Signal Hill
262,38.45,-121.83,Dixon
263,32.58,-117.1,Imperial Beach
264,38.66,-121.78,Woodland
265,34.28,-118.7,Santa Susana
266,33.68,-117.78,Irvine
267,38.71,-121.38,North Highlands
268,38.47,-121.42,Florin
269,33.98,-117.38,Rubidoux
270,37.29,-121.88,Seven Trees
271,32.73,-117.0,Spring Valley
272,33.81,-117.43,El Cerrito
273,38.63,-121.29,Fair Oaks
274,32.82,-116.94,Bostonia
275,32.8,-117.2,La Jolla
276,37.37,-122.22,Portola Valley
277,33.93,-118.36,Lennox
278,34.17,-118.1,East Pasadena
279,33.82,-117.89,Anaheim
280,38.43,-122.73,Roseland
281,36.62,-121.69,Salinas
282,37.95,-122.05,Pleasant Hill
283,33.89,-118.41,Manhattan Beach
284,37.85,-121.64,Byron
285,33.95,-118.02,South Whittier
286,37.49,-122.28,San Carlos
287,34.52,-118.22,Acton
288,34.06,-118.06,South El Monte
289,37.68,-122.12,San Lorenzo
290,33.71,-116.91,Valle Vista
291,34.04,-118.19,Boyle Heights
292,33.68,-117.97,Fountain Valley
293,37.3,-121.94,Campbell
294,34.01,-118.18,East Los Angeles
295,34.06,-117.71,Montclair
296,38.77,-120.58,Pollock Pines
297,33.84,-118.34,Torrance
298,37.93,-121.97,Clayton
299,35.41,-119.19,Rosedale
300,39.44,-123.8,Fort Bragg
301,39.78,-121.59,Magalia
302,33.54,-117.69,Laguna Niguel
303,35.37,-119.04,Bakersfield
304,32.7,-117.08,National City
305,33.12,-115.51,Calipatria
306,34.08,-118.69,Malibu Beach
307,34.12,-118.19,South Pasadena
308,33.75,-118.14,Seal Beach
309,37.34,-122.05,Cupertino
310,38.61,-121.39,Arden-Arcade
311,35.29,-120.68,San Luis Obispo
312,37.65,-122.41,South San Francisco
313,34.13,-117.66,San Antonio Heights
314,34.17,-118.36,North Hollywood
315,33.88,-118.36,Lawndale
316,34.05,-118.22,Boyle Heights
317,34.14,-118.16,Pasadena
318,37.75,-122.49,Daly City
319,32.94,-117.25,Del Mar
320,32.86,-117.25,La Jolla
321,39.52,-121.61,Thermalito
322,34.29,-119.17,Saticoy
323,34.55,-118.01,Littlerock
324,34.05,-117.95,Valinda
325,32.79,-117.24,La Jolla
326,34.14,-117.97,Bradbury
327,34.04,-118.34,View Park-Windsor Hills
328,34.27,-119.28,Ventura
329,33.89,-118.0,Buena Park
330,32.75,-117.24,Coronado
331,34.16,-118.26,North Glendale
332,34.42,-119.7,Santa Barbara
333,33.6,-117.87,San Joaquin Hills
334,37.68,-122.15,San Lorenzo
335,34.23,-118.26,La Crescenta-Montrose
336,35.41,-118.95,Oildale
337,33.77,-117.89,Santa Ana
338,34.05,-117.19,Redlands
339,37.36,-120.59,Atwater
340,38.35,-122.7,Rohnert Park
341,32.74,-117.24,Coronado
342,37.77,-122.47,San Francisco
343,37.4,-122.08,Mountain View
344,33.86,-118.36,Lawndale
345,38.08,-122.58,Novato
346,34.07,-118.08,Rosemead
347,34.08,-117.98,Baldwin Park
348,38.86,-120.04,South Lake Tahoe
349,37.4,-122.1,Los Altos
350,37.52,-121.96,Fremont
351,37.78,-119.08,Mammoth Lakes
352,33.99,-118.26,Florence-Graham
353,33.05,-117.27,Encinitas
354,37.11,-120.26,Chowchilla
355,33.88,-118.28,West Rancho Dominguez
356,33.75,-116.91,Valle Vista
357,37.34,-122.03,Cupertino
358,34.11,-117.74,Claremont
359,36.34,-119.64,Hanford
360,37.38,-121.84,Alum Rock
361,37.3,-120.49,Merced
362,34.16,-118.27,North Glendale
363,37.69,-122.08,Castro Valley
364,34.15,-118.41,North Hollywood
365,33.66,-117.28,Sedco Hills
366,36.64,-119.63,Del Rey
367,33.97,-118.34,Inglewood
368,33.78,-118.13,Signal Hill
369,37.37,-122.01,Sunnyvale
370,33.6,-117.87,San Joaquin Hills
371,33.97,-118.25,Florence-Graham
372,34.19,-118.61,Canoga Park
373,37.38,-122.08,Mountain View
374,34.15,-116.06,Twentynine Palms
375,33.63,-117.71,Laguna Hills
376,37.7,-121.02,Del Rio
377,37.74,-122.54,Broadmoor
378,33.87,-118.09,Artesia
379,32.75,-117.13,San Diego
380,32.74,-117.11,San Diego
381,33.98,-118.33,View Park-Windsor Hills
382,33.9,-118.05,Norwalk
383,33.78,-118.26,West Carson
384,36.53,-119.56,Kingsburg
385,33.68,-118.28,San Pedro
386,35.41,-118.96,Oildale
387,37.9,-122.3,Albany
388,38.48,-121.47,Parkway
389,33.94,-117.6,Norco
390,36.4,-119.18,Ivanhoe
391,34.31,-118.61,Chatsworth
392,33.88,-117.94,Fullerton
393,34.08,-117.64,Upland
394,36.55,-121.92,Carmel-by-the-Sea
395,33.88,-117.76,Yorba Linda
396,35.14,-119.47,Taft Heights
397,34.13,-118.14,South Pasadena
398,37.32,-121.88,San Jose
399,33.95,-118.14,Downey
400,33.87,-116.54,Garnet
401,40.48,-121.55,Shingletown
402,38.97,-121.09,North Auburn
403,32.72,-117.08,National City
404,32.85,-116.75,Alpine
405,38.5,-122.94,Guerneville
406,35.12,-118.46,Tehachapi
407,32.7,-117.0,La Presa
408,36.7,-119.57,Sanger
409,34.04,-118.29,Los Angeles
410,40.44,-122.42,Anderson
411,33.73,-117.88,Santa Ana
412,33.62,-117.85,San Joaquin Hills
413,35.4,-119.47,Buttonwillow
414,37.54,-122.26,Redwood Shores
415,34.23,-116.86,Big Bear City
416,32.68,-117.02,Bonita
417,36.06,-120.79,San Miguel
418,39.79,-121.58,Magalia
419,34.03,-118.06,South El Monte
420,32.74,-117.04,Lemon Grove
421,35.12,-120.61,Grover Beach
422,37.97,-121.32,Country Club
423,33.06,-117.16,Rancho Santa Fe
424,33.51,-117.66,San Juan Capistrano
425,34.14,-118.11,East Pasadena
426,37.76,-122.46,San Francisco
427,34.05,-118.1,South San Gabriel
428,36.91,-121.76,Watsonville
429,37.68,-121.88,Pleasanton
430,34.04,-118.2,Boyle Heights
431,38.55,-121.34,La Riviera
432,34.28,-118.7,Santa Susana
433,37.76,-122.44,San Francisco
434,33.79,-118.13,Signal Hill
435,34.12,-117.81,San Dimas
436,33.74,-118.31,San Pedro
437,36.63,-119.68,Fowler
438,33.34,-117.19,Bonsall
439,39.82,-121.87,Chico
440,36.74,-119.79,Fresno
441,33.72,-116.22,Indio
442,33.94,-117.94,La Habra
443,33.02,-117.15,Fairbanks Ranch
444,34.03,-118.09,Montebello
445,33.98,-118.37,Ladera Heights
446,38.67,-121.2,Folsom
447,34.04,-117.12,Mentone
448,34.12,-118.22,Glendale
449,34.06,-117.42,Bloomington
450,36.74,-119.73,Sunnyside
451,34.17,-118.54,Northridge
452,38.43,-121.22,Wilton
453,37.37,-122.06,Sunnyvale
454,34.05,-118.34,West Hollywood
455,37.33,-120.46,Merced
456,34.9,-120.48,Orcutt
457,34.28,-119.25,Ventura
458,37.74,-122.19,San Leandro
459,38.47,-122.66,Santa Rosa
460,37.39,-122.02,Sunnyvale
461,39.06,-120.13,Tahoma
462,32.93,-117.15,Fairbanks Ranch
463,38.67,-121.26,Fair Oaks
464,34.05,-118.3,Silver Lake
465,32.73,-117.12,San Diego
466,34.05,-117.99,Avocado Heights
467,34.42,-118.75,Piru
468,34.02,-118.42,Culver City
469,38.04,-121.63,Bethel Island
470,34.02,-118.5,Santa Monica
471,32.72,-117.14,San Diego
472,38.7,-121.46,Elverta
473,39.16,-121.57,Marysville
474,33.92,-117.22,Moreno Valley
475,33.85,-118.2,East Rancho Dominguez
476,32.79,-117.2,San Diego
477,33.93,-118.02,La Mirada
478,39.4,-123.36,Willits
479,34.13,-117.3,San Bernardino
480,32.85,-116.93,Lakeside
481,34.08,-117.65,Ontario
482,33.04,-117.06,Poway
483,33.66,-116.21,Vista Santa Rosa
484,34.21,-118.56,Northridge
485,34.11,-117.23,Highland
486,37.97,-121.26,August
487,33.94,-117.48,Pedley
488,37.71,-121.07,Salida
489,34.08,-117.62,Upland
490,34.01,-118.14,Commerce
491,34.15,-117.66,San Antonio Heights
492,36.72,-119.74,Fresno
493,37.98,-121.32,Country Club
494,35.37,-118.94,Bakersfield
495,34.17,-117.33,Muscoy
496,37.44,-122.13,Palo Alto
497,34.08,-118.25,Echo Park
498,34.05,-118.02,El Monte
499,34.13,-117.9,Azusa
500,33.97,-117.41,Riverside
501,33.95,-118.24,Florence-Graham
502,37.37,-122.03,Sunnyvale
503,32.75,-117.13,San Diego
504,32.74,-117.25,Coronado
505,37.58,-122.35,Burlingame
506,37.34,-121.94,Burbank
507,36.68,-121.67,Salinas
508,33.74,-117.86,Santa Ana
509,36.76,-119.79,Fresno
510,37.85,-122.28,Emeryville
511,37.32,-120.51,Merced
512,33.86,-118.2,East Rancho Dominguez
513,39.3,-120.89,Nevada City
514,34.08,-117.08,Mentone
515,37.74,-122.41,San Francisco
516,40.88,-121.65,Burney
517,37.76,-122.17,San Leandro
518,33.82,-118.21,Signal Hill
519,39.05,-120.94,Colfax
520,33.97,-118.28,Florence-Graham
521,37.26,-122.04,Saratoga
522,37.65,-120.95,Bystrom
523,38.55,-121.51,Sacramento
524,37.94,-122.03,Waldon
525,32.75,-117.11,San Diego
526,35.38,-118.97,Bakersfield
527,37.23,-121.8,Seven Trees
528,33.78,-118.14,Signal Hill
529,34.02,-118.08,Montebello
530,34.08,-118.68,Malibu Beach
531,38.59,-121.5,Sacramento
532,33.9,-118.36,Lawndale
533,37.71,-122.46,Daly City
534,37.29,-122.02,Saratoga
535,32.85,-115.59,Imperial
536,34.05,-117.07,Yucaipa
537,33.44,-117.59,San Clemente
538,33.79,-118.31,Lomita
539,38.26,-121.99,Fairfield
540,34.09,-118.37,West Hollywood
541,33.91,-118.06,Norwalk
542,38.54,-121.49,Sacramento
543,35.35,-119.02,Bakersfield
544,34.07,-118.29,Silver Lake
545,34.09,-118.28,Silver Lake
546,37.32,-120.47,Merced
547,37.47,-122.24,Redwood City
548,40.86,-124.06,Bayside
549,34.26,-118.3,La Crescenta-Montrose
550,39.37,-121.24,Challenge-Brownsville
551,34.14,-118.45,Sherman Oaks
552,38.29,-122.15,Green Valley
553,37.78,-122.51,Sausalito
554,39.34,-122.05,Colusa
555,39.76,-121.62,Paradise
556,40.77,-124.16,Cutten
557,37.68,-121.92,Dublin
558,38.13,-121.28,Lodi
559,37.27,-121.84,Seven Trees
560,33.96,-118.4,Ladera Heights
561,32.92,-117.13,Fairbanks Ranch
562,41.06,-122.34,Dunsmuir
563,38.53,-122.4,Angwin
564,38.59,-121.55,West Sacramento
565,38.55,-121.4,Rosemont
566,34.12,-117.31,San Bernardino
567,37.35,-120.6,Atwater
568,34.01,-118.44,Marina del Rey
569,37.69,-121.04,Salida
570,36.58,-119.9,Caruthers
571,35.38,-118.97,Bakersfield
572,33.94,-117.41,Riverside
573,33.94,-116.48,Desert Hot Springs
574,32.82,-117.25,La Jolla
575,37.97,-122.1,Pacheco
576,34.2,-118.6,Canoga Park
577,37.8,-122.42,San Francisco
578,35.6,-119.33,Wasco
579,34.01,-118.24,Huntington Park
580,37.42,-122.14,Palo Alto
581,32.65,-117.08,Chula Vista
582,33.65,-116.9,Valle Vista
583,37.96,-122.53,San Rafael
584,32.61,-117.03,Bonita
585,38.49,-121.51,Parkway
586,34.18,-118.54,Northridge
587,34.03,-117.19,Redlands
588,32.8,-117.12,San Diego
589,37.45,-122.13,Palo Alto
590,33.76,-117.96,Garden Grove
591,33.93,-117.91,Brea
592,33.94,-118.36,Lennox
593,36.35,-119.3,Visalia
594,34.31,-118.42,San Fernando
595,36.47,-120.95,King City
596,33.8,-117.96,Garden Grove
597,38.59,-121.35,La Riviera
598,37.33,-120.89,Hilmar-Irwin
599,33.81,-118.06,Los Alamitos
600,33.75,-117.83,Tustin
601,33.74,-117.89,Santa Ana
602,38.6,-121.44,Sacramento
603,37.86,-122.27,Berkeley
604,33.92,-117.5,Home Gardens
605,33.19,-116.37,Borrego Springs
606,34.42,-119.88,Isla Vista
607,34.05,-118.03,South El Monte
608,37.69,-122.49,Broadmoor
609,32.83,-117.22,La Jolla
610,37.65,-120.96,Modesto
611,37.68,-122.47,Colma
612,36.98,-122.01,Twin Lakes
613,33.8,-117.96,Garden Grove
614,34.2,-118.52,Northridge
615,32.74,-117.23,Coronado
616,32.84,-117.18,La Jolla
617,37.96,-121.32,Country Club
618,33.98,-118.09,Pico Rivera
619,33.8,-118.34,Rolling Hills Estates
620,32.76,-117.12,San Diego
621,34.44,-119.81,Goleta
622,33.97,-118.19,Bell
623,37.65,-120.97,Modesto
624,33.97,-118.35,Inglewood
625,34.04,-117.94,Valinda
626,37.89,-122.27,Berkeley
627,37.89,-122.29,Albany
628,37.65,-122.09,Hayward
629,36.98,-122.02,Santa Cruz
630,37.78,-122.44,San Francisco
631,34.18,-118.52,Northridge
632,38.41,-121.32,Wilton
633,37.63,-122.43,San Bruno
634,37.24,-121.96,Los Gatos
635,34.03,-117.02,Yucaipa
636,34.09,-118.26,Silver Lake
637,37.47,-122.13,East Palo Alto
638,37.75,-122.42,San Francisco
639,38.01,-121.29,Lincoln Village
640,33.71,-116.23,Indio
641,33.85,-118.35,Torrance
642,32.75,-117.11,San Diego
643,34.04,-118.5,Santa Monica
644,32.74,-117.08,Lemon Grove
645,33.88,-117.93,Fullerton
646,33.86,-118.33,Torrance
647,38.26,-122.13,Green Valley
648,40.55,-124.13,Hydesville
649,37.71,-122.47,Daly City
650,34.15,-118.49,Sherman Oaks
651,39.17,-121.02,Alta Sierra
652,33.38,-117.2,Fallbrook
653,38.47,-122.67,Santa Rosa
654,40.57,-122.23,Palo Cedro
655,36.83,-119.68,Clovis
656,33.84,-116.51,Palm Springs
657,33.79,-116.96,San Jacinto
658,39.12,-121.57,Linda
659,34.11,-118.07,Temple City
660,34.01,-118.34,View Park-Windsor Hills
661,34.22,-118.44,Van Nuys
662,37.6,-122.06,Union City
663,33.81,-118.1,Los Alamitos
664,37.8,-122.24,Piedmont
665,34.47,-119.67,Mission Canyon
666,36.56,-119.6,Selma
667,33.73,-118.0,Midway City
668,33.93,-118.28,West Athens
669,34.31,-118.44,San Fernando
670,37.72,-122.45,Daly City
671,37.23,-120.25,Le Grand
672,34.09,-118.08,East San Gabriel
673,37.77,-120.83,Oakdale
674,33.8,-118.3,Lomita
675,32.65,-116.45,Campo
676,37.8,-121.2,Manteca
677,39.2,-120.1,Dollar Point
678,33.89,-117.51,Home Gardens
679,34.09,-118.25,Echo Park
680,36.83,-119.83,Fresno
681,34.13,-118.6,Topanga
682,34.17,-118.45,Van Nuys
683,33.73,-118.01,Midway City
684,34.02,-118.41,Culver City
685,34.03,-117.64,Ontario
686,37.8,-122.25,Oakland
687,38.73,-122.62,Middletown
688,34.23,-118.25,La Crescenta-Montrose
689,34.14,-118.82,Westlake Village
690,34.3,-118.43,San Fernando
691,35.59,-120.63,Paso Robles
692,33.99,-118.47,Marina del Rey
693,34.09,-118.12,Alhambra
694,33.43,-117.61,San Clemente
695,37.77,-122.17,San Leandro
696,37.67,-122.08,Hayward
697,34.06,-118.3,Silver Lake
698,38.57,-121.45,Sacramento
699,34.17,-118.27,North Glendale
700,33.87,-118.34,Lawndale
701,38.26,-122.96,Bodega Bay
702,36.55,-121.87,Carmel-by-the-Sea
703,33.9,-118.35,Lawndale
704,32.8,-117.07,La Mesa
705,34.19,-119.13,Oxnard
706,34.14,-118.16,Pasadena
707,38.63,-121.39,Arden-Arcade
708,37.29,-121.75,Seven Trees
709,34.01,-118.47,Santa Monica
710,34.13,-117.37,Rialto
711,37.37,-121.86,Alum Rock
712,36.32,-119.34,Visalia
713,34.21,-118.61,Canoga Park
714,33.97,-117.35,Highgrove
715,37.6,-122.5,Pacifica
716,33.83,-118.27,Carson
717,37.55,-122.31,San Mateo
718,34.2,-118.56,Northridge
719,33.89,-118.2,East Rancho Dominguez
720,36.98,-121.99,Live Oak
721,36.49,-121.74,Carmel Valley Village
722,40.68,-122.36,Shasta Lake
723,32.81,-117.21,La Jolla
724,33.98,-118.04,Whittier
725,32.79,-117.11,San Diego
726,32.8,-117.23,La Jolla
727,37.82,-122.25,Piedmont
728,37.77,-122.19,Alameda
729,36.3,-119.33,Visalia
730,37.72,-121.93,Dublin
731,34.69,-118.13,Lancaster
732,33.85,-117.9,Anaheim
733,34.9,-117.06,Barstow Heights
734,33.98,-118.27,Florence-Graham
735,33.16,-117.31,Carlsbad
736,34.14,-117.94,Bradbury
737,36.92,-121.74,Pajaro
738,33.88,-118.13,Bellflower
739,33.92,-118.37,Del Aire
740,32.91,-117.08,Poway
741,38.76,-120.02,South Lake Tahoe
742,35.32,-119.02,Bakersfield
743,37.64,-120.98,Modesto
744,37.8,-122.41,San Francisco
745,37.96,-122.34,San Pablo
746,37.91,-122.07,Walnut Creek
747,37.79,-122.21,Alameda
748,32.76,-117.13,San Diego
749,37.85,-122.24,Piedmont
750,36.19,-119.12,Lindsay
751,34.03,-118.18,East Los Angeles
752,33.72,-117.91,Fountain Valley
753,34.0,-118.28,Florence-Graham
754,37.73,-122.44,Daly City
755,37.96,-121.3,Stockton
756,37.27,-121.8,Seven Trees
757,34.13,-118.4,North Hollywood
758,38.79,-121.23,Rocklin
759,33.64,-117.81,Irvine
760,38.09,-122.61,Novato
761,36.5,-121.73,Carmel Valley Village
762,33.93,-118.15,Downey
763,35.04,-118.15,Mojave
764,34.02,-118.41,Culver City
765,34.12,-118.01,Mayflower Village
766,33.82,-118.3,West Carson
767,37.65,-120.92,Empire
768,38.13,-121.26,Lodi
769,33.96,-118.28,Westmont
770,33.74,-116.29,Bermuda Dunes
771,33.98,-118.3,Westmont
772,33.72,-116.26,Bermuda Dunes
773,33.16,-117.34,Carlsbad
774,35.41,-118.94,Oildale
775,37.78,-122.46,San Francisco
776,36.71,-119.52,Sanger
777,33.96,-116.97,Cherry Valley
778,34.63,-120.46,Lompoc
779,32.66,-117.11,National City
780,35.35,-119.02,Bakersfield
781,37.67,-120.99,Modesto
782,34.04,-118.16,Belvedere
783,33.75,-117.98,Midway City
784,36.97,-122.05,Santa Cruz
785,33.88,-118.29,Gardena
786,33.98,-118.16,Bell Gardens
787,32.82,-116.92,Winter Gardens
788,33.8,-117.93,Garden Grove
789,39.45,-121.94,Biggs
790,37.26,-121.89,Cambrian Park
791,33.81,-118.0,Stanton
792,34.07,-117.66,Ontario
793,32.64,-117.09,Chula Vista
794,32.63,-117.03,Bonita
795,33.85,-118.1,Artesia
796,33.93,-118.25,Willowbrook
797,38.35,-121.99,Vacaville
798,37.79,-121.21,Manteca
799,32.78,-117.17,San Diego
800,33.96,-118.3,Westmont
801,34.07,-117.64,Ontario
802,33.99,-118.29,Westmont
803,37.72,-122.15,San Leandro
804,39.14,-120.18,Sunnyside-Tahoe City
